,feature_name
ITM2C,ITM2C
GZMM,GZMM
ANGPTL4,ANGPTL4
PTGS1,PTGS1
UBOX5,UBOX5
IMPDH1,IMPDH1
ARHGAP6,ARHGAP6
ZFP36L1,ZFP36L1
BMP3,BMP3
MYBPC3,MYBPC3
RYR3,RYR3
CD3G,CD3G
TLR4,TLR4
CETP,CETP
TK1,TK1
C5AR2,C5AR2
DTYMK,DTYMK
RNF14,RNF14
DAPK2,DAPK2
NRARP,NRARP
TRGV5,TRGV5
SPIB,SPIB
AICDA,AICDA
CCDC168,CCDC168
UBE2S,UBE2S
CD22,CD22
PLXDC2,PLXDC2
VWF,VWF
APBB2,APBB2
MT3,MT3
REPS2,REPS2
DDIT4,DDIT4
PLSCR2,PLSCR2
LINC01943,LINC01943
HERPUD1,HERPUD1
CEP164,CEP164
MSH3,MSH3
IGFBP7,IGFBP7
MT-CO2,MT-CO2
NFKBID,NFKBID
CCNA1,CCNA1
CCR7,CCR7
PLXNC1,PLXNC1
PHLDA2,PHLDA2
SCD,SCD
SERPINB10,SERPINB10
HS3ST1,HS3ST1
GLRX5,GLRX5
AATK,AATK
ISG15,ISG15
FKBP11,FKBP11
AK2,AK2
SGSM2,SGSM2
ARFGAP1,ARFGAP1
DCDC2B,DCDC2B
FCRLA,FCRLA
PHC2,PHC2
MPEG1,MPEG1
AP1S2,AP1S2
TCF4,TCF4
TMEM63A,TMEM63A
LAYN,LAYN
DAAM2,DAAM2
DTX1,DTX1
CD55,CD55
CCDC126,CCDC126
SEMA4A,SEMA4A
MAMDC2,MAMDC2
TRGV10,TRGV10
MED12L,MED12L
SH2D1B,SH2D1B
HMGA1,HMGA1
FAM111B,FAM111B
XIST,XIST
AFF3,AFF3
SH2D2A,SH2D2A
FLOT2,FLOT2
MAMLD1,MAMLD1
MYC,MYC
COTL1,COTL1
ADGRE2,ADGRE2
YPEL5,YPEL5
STX3,STX3
IGF1,IGF1
GNAI1,GNAI1
STXBP2,STXBP2
FOLR3,FOLR3
ACTRT3,ACTRT3
TMEM91,TMEM91
ARHGAP9,ARHGAP9
SOCS3,SOCS3
RBP7,RBP7
ENHO,ENHO
DTHD1,DTHD1
RGL1,RGL1
GP6,GP6
AMOTL1,AMOTL1
STOM,STOM
ADIRF,ADIRF
DRC1,DRC1
WASF1,WASF1
PXN,PXN
KLF1,KLF1
GJA4,GJA4
PLD5,PLD5
TXNIP,TXNIP
TMEM176B,TMEM176B
CDCA8,CDCA8
EBI3,EBI3
PYHIN1,PYHIN1
SERPINF1,SERPINF1
CLTCL1,CLTCL1
NSUN7,NSUN7
RIPOR2,RIPOR2
DAAM1,DAAM1
NOD2,NOD2
MT-CO3,MT-CO3
TRGV3,TRGV3
LRRC49,LRRC49
SPI1,SPI1
KCNJ2,KCNJ2
AMPH,AMPH
ANXA2,ANXA2
IFI6,IFI6
CTHRC1,CTHRC1
LGALS3BP,LGALS3BP
INKA2,INKA2
TCN2,TCN2
EVA1A,EVA1A
ARID1A,ARID1A
QPCT,QPCT
AQP1,AQP1
DST,DST
HIF1A-AS3,HIF1A-AS3
IFI44L,IFI44L
PRKCD,PRKCD
BCL2L15,BCL2L15
THAP5,THAP5
PLIN4,PLIN4
DONSON,DONSON
SOX6,SOX6
RAMP1,RAMP1
BCL7A,BCL7A
NEU1,NEU1
NUMB,NUMB
ARAP1,ARAP1
IGFL2,IGFL2
NAV3,NAV3
CD3E,CD3E
CDK12,CDK12
MFAP4,MFAP4
ZBTB18,ZBTB18
DUSP5,DUSP5
TRGV4,TRGV4
MED15,MED15
RUFY1,RUFY1
DCHS2,DCHS2
CXCR5,CXCR5
RGL4,RGL4
LDLR,LDLR
FRMD3,FRMD3
HSPA2,HSPA2
USP53,USP53
KIF20A,KIF20A
CDKN3,CDKN3
CDC20B,CDC20B
NLRP12,NLRP12
TRAV34,TRAV34
MAOA,MAOA
KPNA2,KPNA2
RAB3C,RAB3C
IL23R,IL23R
CTSC,CTSC
RAB27A,RAB27A
ARFGEF1,ARFGEF1
CD70,CD70
IL23A,IL23A
DNM3,DNM3
RCN3,RCN3
ANKRD37,ANKRD37
RASIP1,RASIP1
SERPINI1,SERPINI1
LTC4S,LTC4S
SMOX,SMOX
EOMES,EOMES
CORIN,CORIN
CD81,CD81
CDCA3,CDCA3
TUBA1A,TUBA1A
RPS18,RPS18
SLC25A39,SLC25A39
LINC01750,LINC01750
TRAV36DV7,TRAV36DV7
SLC13A5,SLC13A5
LYPD3,LYPD3
B3GNT5,B3GNT5
TRAV4,TRAV4
SULT1B1,SULT1B1
BAMBI,BAMBI
CHGB,CHGB
GRB10,GRB10
PLOD2,PLOD2
TXN,TXN
CFH,CFH
PRSS23,PRSS23
MANSC1,MANSC1
SCN1B,SCN1B
NCF1,NCF1
SELL,SELL
SNTB2,SNTB2
SLC4A10,SLC4A10
AP5Z1,AP5Z1
TUBB6,TUBB6
INTS6,INTS6
MYRF,MYRF
ACY3,ACY3
TP53I11,TP53I11
PCNX1,PCNX1
ZEB2,ZEB2
TRPM2,TRPM2
ATP1B1,ATP1B1
SNAI1,SNAI1
MCM7,MCM7
TRGV9,TRGV9
TTPAL,TTPAL
GABRB2,GABRB2
FKBP5,FKBP5
DENND5A,DENND5A
USP21,USP21
PKP4,PKP4
GJB6,GJB6
PLAC9,PLAC9
SPHK1,SPHK1
PASK,PASK
CILP,CILP
CYP2E1,CYP2E1
ACAD8,ACAD8
GIHCG,GIHCG
CD93,CD93
TGFBI,TGFBI
QSOX1,QSOX1
CSF1R,CSF1R
AMPD3,AMPD3
TBCEL,TBCEL
LINC01291,LINC01291
TAL1,TAL1
IRF1,IRF1
KBTBD6,KBTBD6
EIF4A3,EIF4A3
CLIC5,CLIC5
FHL2,FHL2
NRP2,NRP2
MAFF,MAFF
GNPTAB,GNPTAB
FSTL1,FSTL1
GPAT3,GPAT3
MATK,MATK
TLR6,TLR6
SLC45A3,SLC45A3
SPRY2,SPRY2
DOCK5,DOCK5
IRF8,IRF8
TANC1,TANC1
GNAZ,GNAZ
PROX1,PROX1
CD40LG,CD40LG
NABP1,NABP1
CLEC4D,CLEC4D
TMEM140,TMEM140
COQ7,COQ7
CEMIP2,CEMIP2
CD68,CD68
CD19,CD19
SLC22A4,SLC22A4
GOLGB1,GOLGB1
SHKBP1,SHKBP1
ENPP2,ENPP2
HCK,HCK
CYP4F8,CYP4F8
APMAP,APMAP
CKS1B,CKS1B
INPP5K,INPP5K
LHFPL2,LHFPL2
HCAR3,HCAR3
HTRA3,HTRA3
DENND3,DENND3
MARCKSL1,MARCKSL1
PRDM1,PRDM1
NLRC5,NLRC5
GATA3,GATA3
PIK3R1,PIK3R1
GRAP2,GRAP2
FCRL1,FCRL1
PPP1R12C,PPP1R12C
EGFL6,EGFL6
PTPRB,PTPRB
SERPINE2,SERPINE2
CLEC7A,CLEC7A
PCGF3,PCGF3
TBX21,TBX21
MYO3B,MYO3B
SAMD3,SAMD3
EPB42,EPB42
COL6A2,COL6A2
ANKRD28,ANKRD28
HECW2,HECW2
IGF2R,IGF2R
SMPD3,SMPD3
DMXL2,DMXL2
MROH8,MROH8
MIAT,MIAT
SCN9A,SCN9A
TBC1D23,TBC1D23
CEP78,CEP78
SDCBP,SDCBP
CCR9,CCR9
NXF3,NXF3
RORA,RORA
GCNT7,GCNT7
BEX1,BEX1
PDCD1,PDCD1
SLC15A4,SLC15A4
CHORDC1,CHORDC1
RPS12,RPS12
ITM2A,ITM2A
MMP2,MMP2
MERTK,MERTK
SCGB1C2,SCGB1C2
NRP1,NRP1
GSTO2,GSTO2
PTGDR,PTGDR
UCHL1,UCHL1
CREG1,CREG1
CD163L1,CD163L1
TNFRSF13B,TNFRSF13B
TSHZ2,TSHZ2
METRNL,METRNL
LPCAT2,LPCAT2
LRRN3,LRRN3
LBR,LBR
TSPOAP1,TSPOAP1
CLASP1,CLASP1
RPL13A,RPL13A
SIRPB2,SIRPB2
NCR3,NCR3
EXOC6,EXOC6
ELF3,ELF3
LILRB3,LILRB3
CYTH4,CYTH4
MFAP3L,MFAP3L
PLD4,PLD4
TNNC2,TNNC2
MYO7B,MYO7B
SDC3,SDC3
PCNA,PCNA
CDCA7,CDCA7
DNTT,DNTT
STON2,STON2
KLHL2,KLHL2
RCAN1,RCAN1
TLE1,TLE1
PGRMC1,PGRMC1
ATG2A,ATG2A
FCRL6,FCRL6
FASLG,FASLG
TOX2,TOX2
POU4F1,POU4F1
STXBP6,STXBP6
DMTN,DMTN
PHACTR4,PHACTR4
GPR155,GPR155
AIRE,AIRE
LINC00996,LINC00996
NINJ1,NINJ1
B3GNT8,B3GNT8
MCTP2,MCTP2
MAP1A,MAP1A
D2HGDH,D2HGDH
ZWINT,ZWINT
CACYBP,CACYBP
NECTIN3,NECTIN3
TSPAN32,TSPAN32
ADAM28,ADAM28
GPD1,GPD1
SGCE,SGCE
SH3BP2,SH3BP2
LINC01727,LINC01727
SLC38A2,SLC38A2
STEAP1B,STEAP1B
FCGR2B,FCGR2B
FRY,FRY
RPL13,RPL13
TECPR1,TECPR1
LILRA5,LILRA5
SLC7A5,SLC7A5
VAPA,VAPA
FBXW2,FBXW2
SPTSSB,SPTSSB
PELI1,PELI1
GTSE1,GTSE1
ACSBG1,ACSBG1
FGR,FGR
UBC,UBC
LINC02608,LINC02608
TMEM119,TMEM119
CHID1,CHID1
ROCK1,ROCK1
CNR1,CNR1
IP6K2,IP6K2
ARL4D,ARL4D
ABLIM3,ABLIM3
CHKA,CHKA
MAP1LC3A,MAP1LC3A
CADM2,CADM2
SAMHD1,SAMHD1
SDC1,SDC1
LINC02397,LINC02397
LGALS12,LGALS12
CAV1,CAV1
DNAJC5,DNAJC5
NUF2,NUF2
SYNGR3,SYNGR3
KCNG1,KCNG1
GFPT2,GFPT2
NIPBL,NIPBL
BCO2,BCO2
COBLL1,COBLL1
SHROOM4,SHROOM4
SMIM14,SMIM14
TUBA8,TUBA8
DPH6,DPH6
RASGEF1B,RASGEF1B
TRIB2,TRIB2
DAGLB,DAGLB
F2R,F2R
NPTX1,NPTX1
IGSF11,IGSF11
PPM1F,PPM1F
LAMP3,LAMP3
EGLN3,EGLN3
ASAH1,ASAH1
IL17RA,IL17RA
VMP1,VMP1
CD274,CD274
LINC02762,LINC02762
SMIM1,SMIM1
CARMN,CARMN
HCST,HCST
UBE2D1,UBE2D1
TSHZ3,TSHZ3
TNFAIP1,TNFAIP1
HAL,HAL
PBX1,PBX1
LILRB2,LILRB2
CD72,CD72
HOOK2,HOOK2
RGS6,RGS6
NRCAM,NRCAM
THEM5,THEM5
ZNF573,ZNF573
SORBS1,SORBS1
NCKAP1,NCKAP1
KREMEN2,KREMEN2
PHLDA3,PHLDA3
GINS2,GINS2
KLHL21,KLHL21
KCNJ13,KCNJ13
KIFC1,KIFC1
AHNAK,AHNAK
EZR,EZR
BLK,BLK
TRAV40,TRAV40
PTPRE,PTPRE
JMJD6,JMJD6
FMN1,FMN1
LHPP,LHPP
HNRNPLL,HNRNPLL
CSRNP1,CSRNP1
NFE2L2,NFE2L2
GABRR2,GABRR2
RNF152,RNF152
RYR2,RYR2
LTBP4,LTBP4
PLN,PLN
TOB1,TOB1
RFLNB,RFLNB
SLA2,SLA2
LIX1,LIX1
SIGLEC6,SIGLEC6
ZMAT1,ZMAT1
ZZEF1,ZZEF1
TSLP,TSLP
LY6K,LY6K
TNFRSF1B,TNFRSF1B
ZYX,ZYX
PLA2G7,PLA2G7
DSP,DSP
CLNK,CLNK
RPS4Y1,RPS4Y1
ECHDC3,ECHDC3
HCLS1,HCLS1
SPINK2,SPINK2
RPL31,RPL31
MTUS1,MTUS1
HMGB1,HMGB1
CHP1,CHP1
MET,MET
SH3TC2,SH3TC2
SECTM1,SECTM1
USP10,USP10
SCARA5,SCARA5
CITED4,CITED4
CNTNAP2,CNTNAP2
AFAP1,AFAP1
SEC11C,SEC11C
BCL11B,BCL11B
MAPK14,MAPK14
ZNF80,ZNF80
CLDN9,CLDN9
ITGB8,ITGB8
TCF7L2,TCF7L2
ZBTB16,ZBTB16
NEK8,NEK8
TMIGD2,TMIGD2
FAM81B,FAM81B
LINC02207,LINC02207
C3AR1,C3AR1
PTMS,PTMS
CD109,CD109
ABCA5,ABCA5
CENPU,CENPU
NRXN2,NRXN2
MYO6,MYO6
ZNF608,ZNF608
GPRC5A,GPRC5A
IGFBP4,IGFBP4
ZNF90,ZNF90
L3MBTL4,L3MBTL4
PEAR1,PEAR1
TAGLN2,TAGLN2
TUT7,TUT7
MIR3681HG,MIR3681HG
MCF2,MCF2
MSRB1,MSRB1
SIRT3,SIRT3
P4HA2,P4HA2
ABCC2,ABCC2
ADARB1,ADARB1
NUP214,NUP214
INHBB,INHBB
DHCR24,DHCR24
TKT,TKT
PTGER4,PTGER4
EIF4ENIF1,EIF4ENIF1
GNAL,GNAL
EVC2,EVC2
DDX39A,DDX39A
JDP2,JDP2
AQP3,AQP3
RBMS3,RBMS3
DEF8,DEF8
RPL10,RPL10
GJC1,GJC1
SRSF12,SRSF12
ICA1L,ICA1L
FCRL3,FCRL3
ASPRV1,ASPRV1
IL12RB1,IL12RB1
PIM2,PIM2
RNF149,RNF149
HJURP,HJURP
TTC38,TTC38
FAM107B,FAM107B
ITGB1,ITGB1
OR2B6,OR2B6
RABGEF1,RABGEF1
NNAT,NNAT
ZFHX3,ZFHX3
ZNF674-AS1,ZNF674-AS1
WIPF3,WIPF3
RHOT2,RHOT2
DGKH,DGKH
CENPM,CENPM
CISH,CISH
MCOLN1,MCOLN1
DLL1,DLL1
RORC,RORC
SLCO3A1,SLCO3A1
TXK,TXK
SERPINB1,SERPINB1
LEPR,LEPR
MCC,MCC
SPSB1,SPSB1
HMGB3,HMGB3
ANXA5,ANXA5
NFRKB,NFRKB
UBB,UBB
CSNK1D,CSNK1D
FRMD4B,FRMD4B
NCAM1,NCAM1
TYW1,TYW1
FAM174B,FAM174B
ANKRD55,ANKRD55
NCOA4,NCOA4
MMP17,MMP17
LINC02227,LINC02227
NT5M,NT5M
SCD5,SCD5
COL19A1,COL19A1
KDM7A,KDM7A
PLCB1,PLCB1
SPATA6L,SPATA6L
ID1,ID1
CNTROB,CNTROB
UACA,UACA
CYP4F12,CYP4F12
ARHGAP29,ARHGAP29
CELSR1,CELSR1
AIM2,AIM2
PRR14,PRR14
LINC00664,LINC00664
NEK5,NEK5
ATXN1,ATXN1
LHX4,LHX4
KAZN,KAZN
TTC21A,TTC21A
MIR503HG,MIR503HG
RBM38,RBM38
POU2AF1,POU2AF1
ACKR3,ACKR3
LEF1,LEF1
TMEM260,TMEM260
ENO2,ENO2
OTUD1,OTUD1
ZC3H8,ZC3H8
STK11IP,STK11IP
TRAF1,TRAF1
ALPK1,ALPK1
EGF,EGF
NPW,NPW
BMP2,BMP2
SPAG5,SPAG5
DES,DES
CD82,CD82
TFCP2L1,TFCP2L1
AGMAT,AGMAT
GLIS3,GLIS3
BCAS2,BCAS2
MAL,MAL
PIKFYVE,PIKFYVE
NADK,NADK
LINC02029,LINC02029
KLHDC1,KLHDC1
MTSS1,MTSS1
ODC1,ODC1
DOK5,DOK5
LINC02605,LINC02605
ITGA1,ITGA1
RIN2,RIN2
DLC1,DLC1
LAMP5,LAMP5
CUL5,CUL5
LAT,LAT
PAGE5,PAGE5
ACKR4,ACKR4
FKBP9,FKBP9
TIE1,TIE1
TLN1,TLN1
NCF4,NCF4
ZSCAN31,ZSCAN31
SLCO4A1,SLCO4A1
GAN,GAN
ZC3H18,ZC3H18
YES1,YES1
SLC35F2,SLC35F2
GAS1,GAS1
CFAP70,CFAP70
SYTL2,SYTL2
LINC01506,LINC01506
C2CD4A,C2CD4A
KLF5,KLF5
PCF11,PCF11
CTDSP1,CTDSP1
POU3F1,POU3F1
SRGAP2,SRGAP2
CETN2,CETN2
NFKB1,NFKB1
PRDM16,PRDM16
NAA15,NAA15
MAU2,MAU2
STX7,STX7
SCUBE3,SCUBE3
CDCA7L,CDCA7L
LINC01562,LINC01562
GIPC2,GIPC2
SLC23A2,SLC23A2
PLEKHG3,PLEKHG3
CC2D2B,CC2D2B
RPLP1,RPLP1
AKR1B1,AKR1B1
TMCC1,TMCC1
GLA,GLA
MEIOC,MEIOC
SMARCA4,SMARCA4
IER5L,IER5L
TNFSF10,TNFSF10
LIMK2,LIMK2
MAPK10,MAPK10
CAV2,CAV2
FBXO38,FBXO38
SGSH,SGSH
FNDC3A,FNDC3A
ATP6V0D1,ATP6V0D1
VSTM2L,VSTM2L
APOBEC3D,APOBEC3D
ADAM12,ADAM12
LMO4,LMO4
PLEKHN1,PLEKHN1
LINC01792,LINC01792
PVALB,PVALB
FPR3,FPR3
BHLHE41,BHLHE41
SCX,SCX
TGFBR3,TGFBR3
SYCP2,SYCP2
FES,FES
PDGFB,PDGFB
RAB15,RAB15
KRT7,KRT7
VIPR2,VIPR2
LRFN1,LRFN1
CMTM8,CMTM8
MCL1,MCL1
LRRC74B,LRRC74B
ZFYVE9,ZFYVE9
SERPINE3,SERPINE3
FLRT2,FLRT2
WDFY2,WDFY2
IKZF2,IKZF2
SAMD9,SAMD9
GIMAP7,GIMAP7
FBXL18,FBXL18
SLC5A5,SLC5A5
GPAT4,GPAT4
GNG8,GNG8
NBEAL1,NBEAL1
ARHGAP18,ARHGAP18
NPRL2,NPRL2
ARHGAP24,ARHGAP24
NUP85,NUP85
TAGAP,TAGAP
PAXBP1,PAXBP1
FGF14-AS2,FGF14-AS2
RPS6KA2,RPS6KA2
FSCN1,FSCN1
ATP13A3,ATP13A3
FFAR3,FFAR3
ISL2,ISL2
ANKRD20A1,ANKRD20A1
NACAD,NACAD
LZIC,LZIC
ELOVL7,ELOVL7
RNF19B,RNF19B
TCF7,TCF7
SPIDR,SPIDR
CTDSPL,CTDSPL
FDXR,FDXR
PRKCG,PRKCG
ANXA4,ANXA4
EYS,EYS
ZBTB20-AS4,ZBTB20-AS4
PRDX4,PRDX4
LDHAL6A,LDHAL6A
UBE2T,UBE2T
B4GALT5,B4GALT5
SLC2A1,SLC2A1
FCRL2,FCRL2
IL18,IL18
EXOC6B,EXOC6B
NADSYN1,NADSYN1
FYB1,FYB1
XCR1,XCR1
CEP83,CEP83
PLAC8,PLAC8
EPHX1,EPHX1
DOCK4,DOCK4
CPD,CPD
JAML,JAML
PHKA2,PHKA2
IQCG,IQCG
MYO5A,MYO5A
CEP128,CEP128
RDH10,RDH10
B4GALT6,B4GALT6
DHX38,DHX38
ELAVL3,ELAVL3
DDB2,DDB2
SCN8A,SCN8A
RBM14,RBM14
SAR1B,SAR1B
AKAP9,AKAP9
SELPLG,SELPLG
CASP6,CASP6
TSPYL1,TSPYL1
RASL11B,RASL11B
EZH1,EZH1
ZNF763,ZNF763
ETS1,ETS1
IP6K1,IP6K1
AREL1,AREL1
KAT2A,KAT2A
AVPR1A,AVPR1A
LINC01551,LINC01551
SULT1C2,SULT1C2
SSBP2,SSBP2
POMT1,POMT1
RCSD1,RCSD1
TF,TF
SZT2,SZT2
EFHD2,EFHD2
PIMREG,PIMREG
SHOX2,SHOX2
ZNF714,ZNF714
BLM,BLM
SERTAD1,SERTAD1
FAM229A,FAM229A
SPRED2,SPRED2
ELAVL4,ELAVL4
ZBED4,ZBED4
NFASC,NFASC
E4F1,E4F1
ATP6V1D,ATP6V1D
GH1,GH1
ARHGAP33,ARHGAP33
PER1,PER1
FSTL4,FSTL4
DBT,DBT
PRIMPOL,PRIMPOL
MNT,MNT
FAM177B,FAM177B
TCF3,TCF3
CCRL2,CCRL2
PTPRM,PTPRM
PRX,PRX
TPO,TPO
ZNF75D,ZNF75D
GPR84,GPR84
MYCT1,MYCT1
CNIH3,CNIH3
LINC02580,LINC02580
PDE3A,PDE3A
PRKCB,PRKCB
CNTNAP3B,CNTNAP3B
TMEM79,TMEM79
MCAM,MCAM
CARD6,CARD6
TCTN2,TCTN2
ERO1B,ERO1B
TMC5,TMC5
MT-ND3,MT-ND3
SLC45A4,SLC45A4
TREML4,TREML4
TLK1,TLK1
CD37,CD37
SLC22A1,SLC22A1
PDE4D,PDE4D
TENT5C,TENT5C
FUCA1,FUCA1
NAPSA,NAPSA
MAML3,MAML3
TLR8,TLR8
SYP,SYP
EGOT,EGOT
ITGA6,ITGA6
TDRD9,TDRD9
SIRT5,SIRT5
ENTPD1,ENTPD1
EFNB2,EFNB2
SP1,SP1
ABHD12B,ABHD12B
NFIL3,NFIL3
FCMR,FCMR
ESR2,ESR2
FAXDC2,FAXDC2
TROAP,TROAP
KMT2C,KMT2C
DCHS1,DCHS1
POMZP3,POMZP3
BCL11A,BCL11A
IRX3,IRX3
ASF1B,ASF1B
RBM28,RBM28
DENND2D,DENND2D
PBX4,PBX4
SPC25,SPC25
LTA4H,LTA4H
SH2D1A,SH2D1A
KIRREL3,KIRREL3
CKAP2L,CKAP2L
THSD1,THSD1
KDM1B,KDM1B
MTFMT,MTFMT
PLEKHM2,PLEKHM2
SHISA2,SHISA2
KMT5A,KMT5A
SPOCK2,SPOCK2
CERS5,CERS5
WLS,WLS
SRSF7,SRSF7
MYLIP,MYLIP
CCR6,CCR6
SMG8,SMG8
IFT74,IFT74
PIP5KL1,PIP5KL1
PRSS35,PRSS35
IGHMBP2,IGHMBP2
SPG11,SPG11
TMEM43,TMEM43
RRP1,RRP1
ATP11C,ATP11C
SMIM3,SMIM3
TSPAN13,TSPAN13
CPA5,CPA5
ODF3B,ODF3B
GRIPAP1,GRIPAP1
FAAP24,FAAP24
TSNARE1,TSNARE1
CCDC191,CCDC191
TNS3,TNS3
TMEM184B,TMEM184B
ARL5B,ARL5B
ARMC12,ARMC12
MT1F,MT1F
TAOK1,TAOK1
SYTL4,SYTL4
RUNX3,RUNX3
TUBGCP3,TUBGCP3
RND1,RND1
DZIP3,DZIP3
DIPK1B,DIPK1B
ZNF774,ZNF774
TPST1,TPST1
C4BPB,C4BPB
MTBP,MTBP
MSLN,MSLN
SCGB1C1,SCGB1C1
BTNL8,BTNL8
WDR36,WDR36
NPIPB12,NPIPB12
SEC24A,SEC24A
ANKRD39,ANKRD39
TNFSF13B,TNFSF13B
CEP63,CEP63
LINC02099,LINC02099
COLGALT1,COLGALT1
TRAF2,TRAF2
UNKL,UNKL
RNF25,RNF25
LRRC19,LRRC19
YPEL3,YPEL3
STRN4,STRN4
PLXNB2,PLXNB2
NLRP6,NLRP6
NT5DC3,NT5DC3
TIFA,TIFA
AVP,AVP
ZNF783,ZNF783
HLX,HLX
TP53I13,TP53I13
EMB,EMB
NCR1,NCR1
APC,APC
GYG1,GYG1
MYT1L,MYT1L
RPS26,RPS26
TRIM24,TRIM24
TRAT1,TRAT1
LINC00671,LINC00671
UPP1,UPP1
OXSM,OXSM
AGTRAP,AGTRAP
WDR97,WDR97
LYAR,LYAR
PPP2R2D,PPP2R2D
MEF2C,MEF2C
ZNF518B,ZNF518B
DNM2,DNM2
TES,TES
PKIG,PKIG
TREML2,TREML2
ADCY9,ADCY9
SAP30,SAP30
NBPF11,NBPF11
ZBTB40,ZBTB40
FEZ1,FEZ1
LINC01176,LINC01176
TPM4,TPM4
RRP12,RRP12
MYEOV,MYEOV
LINC00861,LINC00861
FAM43A,FAM43A
CAPN2,CAPN2
ARID3A,ARID3A
CCDC88A,CCDC88A
GATM,GATM
ARFGEF2,ARFGEF2
PLPP5,PLPP5
LINC01393,LINC01393
MBD1,MBD1
FAM9C,FAM9C
PLA2G1B,PLA2G1B
ANGEL2,ANGEL2
FBXW5,FBXW5
LINC02709,LINC02709
HLA-DMA,HLA-DMA
HGS,HGS
ROPN1L,ROPN1L
CPT1A,CPT1A
ANKDD1A,ANKDD1A
SLFN14,SLFN14
TRIM4,TRIM4
ZNF341,ZNF341
DCAF8,DCAF8
POLE,POLE
QRICH1,QRICH1
TNPO2,TNPO2
CD200,CD200
PAX5,PAX5
ENOX2,ENOX2
MACROD2,MACROD2
GBF1,GBF1
SMC1B,SMC1B
TXNDC16,TXNDC16
ZNF425,ZNF425
CLIC6,CLIC6
ZMYM2,ZMYM2
GTPBP2,GTPBP2
RASL11A,RASL11A
RESF1,RESF1
RHOC,RHOC
CATIP,CATIP
MON2,MON2
NCAPG,NCAPG
PIK3CB,PIK3CB
MAB21L3,MAB21L3
CD27,CD27
WDHD1,WDHD1
FZD5,FZD5
FNIP2,FNIP2
MIIP,MIIP
ATG16L2,ATG16L2
ORAI2,ORAI2
HMG20A,HMG20A
ARSD,ARSD
TSEN2,TSEN2
CCND1,CCND1
PCP2,PCP2
FCRL4,FCRL4
NEFL,NEFL
TCF12,TCF12
NOM1,NOM1
SEMA3D,SEMA3D
SNX14,SNX14
RCC1,RCC1
ADA2,ADA2
SMAP2,SMAP2
TMEM213,TMEM213
SMURF1,SMURF1
GYPE,GYPE
TCEAL9,TCEAL9
EPAS1,EPAS1
TRPC4AP,TRPC4AP
KDM5C,KDM5C
INAFM1,INAFM1
SLC19A1,SLC19A1
MON1A,MON1A
DNAL4,DNAL4
WTAP,WTAP
HMBS,HMBS
ZDHHC14,ZDHHC14
PMM1,PMM1
MBOAT2,MBOAT2
FBXO32,FBXO32
CPPED1,CPPED1
SHD,SHD
HSD17B12,HSD17B12
RBM24,RBM24
DYNLL1,DYNLL1
NBR1,NBR1
GSTM4,GSTM4
MEIS2,MEIS2
CHAMP1,CHAMP1
MGAT1,MGAT1
GIMAP5,GIMAP5
KIAA0513,KIAA0513
KCTD1,KCTD1
SPEN,SPEN
PLCB2,PLCB2
PAPSS2,PAPSS2
NSUN2,NSUN2
FGFR1,FGFR1
SPRYD3,SPRYD3
OGN,OGN
STX11,STX11
SPPL3,SPPL3
HOXA5,HOXA5
EMCN,EMCN
SSPN,SSPN
TOM1,TOM1
MR1,MR1
SLFN11,SLFN11
PTPRN,PTPRN
ETV5,ETV5
ANKRD36C,ANKRD36C
BOLA2B,BOLA2B
TMEM63C,TMEM63C
ARHGAP45,ARHGAP45
GABARAP,GABARAP
GLYATL2,GLYATL2
GABARAPL1,GABARAPL1
ADA,ADA
MTA1,MTA1
ITGAD,ITGAD
TP53I3,TP53I3
DACH1,DACH1
DGKG,DGKG
DNAJC3,DNAJC3
TLE6,TLE6
LIPH,LIPH
CLDN4,CLDN4
SCIN,SCIN
TIPARP,TIPARP
HAVCR2,HAVCR2
TBC1D14,TBC1D14
TMSB15A,TMSB15A
NEDD4L,NEDD4L
RENBP,RENBP
ACTG1,ACTG1
METTL6,METTL6
DHRS12,DHRS12
STK31,STK31
FBH1,FBH1
CCDC125,CCDC125
CLSPN,CLSPN
SLC43A3,SLC43A3
CACNA1H,CACNA1H
GOLGA3,GOLGA3
PIGU,PIGU
FST,FST
TENM1,TENM1
SESN1,SESN1
TUBA1C,TUBA1C
F2RL3,F2RL3
NCKAP5L,NCKAP5L
LINC02067,LINC02067
PKIB,PKIB
CENPA,CENPA
COL6A3,COL6A3
IMPG2,IMPG2
IGFBP3,IGFBP3
MGST2,MGST2
GUCY2D,GUCY2D
SPATA7,SPATA7
ADSL,ADSL
GLT1D1,GLT1D1
BICDL1,BICDL1
MTIF3,MTIF3
DHX34,DHX34
CCR4,CCR4
KLHDC10,KLHDC10
PIM1,PIM1
TMEM144,TMEM144
EBF1,EBF1
AHCYL2,AHCYL2
COL4A1,COL4A1
VPS37A,VPS37A
CD6,CD6
TG,TG
DCBLD2,DCBLD2
ZNF141,ZNF141
PCSK6,PCSK6
TLL2,TLL2
FNDC3B,FNDC3B
FAM47E,FAM47E
NT5C,NT5C
PDLIM3,PDLIM3
GDE1,GDE1
UNC13A,UNC13A
FXR2,FXR2
MIF,MIF
GAPDH,GAPDH
PLAAT4,PLAAT4
FLT1,FLT1
GSK3B,GSK3B
ARID5B,ARID5B
GPR108,GPR108
AGPS,AGPS
DDX56,DDX56
